"Gene"	"IS01"	"IS02"	"IS03"	"IS04"	"IS05"	"IS06"	"State"	"MaxFC"	"InitialState"
"PSMB3"	"PSMB3"	-0.108088720399387	-0.418159317497635	0.509167904737155	0.272525120829748	0.140411332034907	-0.118481122712588	"S01"	0.509167904737155	"IS03"
"MCM6"	"MCM6"	0.0564982945206985	-0.133521365434093	0.508278404142955	0.276742031796653	-0.0160668461355305	-0.297748190540757	"S01"	0.508278404142955	"IS03"
"PPM1G"	"PPM1G"	0.0941397421979208	-0.21087060477078	0.505201070162028	0.351316216004155	-0.238534738185255	-0.130231608084829	"S01"	0.505201070162028	"IS03"
"CDK2AP2"	"CDK2AP2"	0.049605438419239	-0.227427840305465	0.503891651330033	0.166560636721261	-0.305809674860842	0.048636006312193	"S01"	0.503891651330033	"IS03"
"YWHAQ"	"YWHAQ"	-0.224280437703088	-0.276290543946271	0.496255674930712	-0.0581452479809464	-0.0837514350921891	0.170649730258161	"S01"	0.496255674930712	"IS03"
"PPDPF"	"PPDPF"	-0.0897236744136243	-0.102231583047029	0.494336045626498	0.0230770031186912	-0.660858669345252	0.35958317470776	"S01"	0.494336045626498	"IS03"
"KATNAL1"	"KATNAL1"	-0.0235408982378397	-0.152685543542859	0.492968338616634	0.0184899074227462	-0.0586889389998319	-0.073799560674046	"S01"	0.492968338616634	"IS03"
"PSMB9"	"PSMB9"	-0.227417043988097	-0.633668138541835	0.472389874545374	0.081318118734727	-0.136015160219047	0.420140847934295	"S01"	0.472389874545374	"IS03"
"WDR54"	"WDR54"	-0.139379218557585	-0.236841532564217	0.471128536582294	0.00709716282948311	-0.00865748550266299	0.0238243174104466	"S01"	0.471128536582294	"IS03"
"PLP2"	"PLP2"	-0.514599576583845	0.0610028077741873	0.468985293039978	-0.133048861349645	-0.00128778580047111	0.0434824391439	"S01"	0.468985293039978	"IS03"
"PSMB8"	"PSMB8"	-0.138372337998476	-0.520352205360298	0.466848604876095	0.014015083678739	-0.245317746799679	0.410297842088878	"S01"	0.466848604876095	"IS03"
"CALM2"	"CALM2"	-0.0468560664889243	-0.0761401572596626	0.465627908190379	0.269631050813465	0.371069762574534	-0.553478480191571	"S01"	0.465627908190379	"IS03"
"TMIGD2"	"TMIGD2"	0.0192102349590965	-0.272962493167557	0.459605108936999	-0.178016135451102	-0.229900559862866	0.240077506039018	"S01"	0.459605108936999	"IS03"
"HNRNPF"	"HNRNPF"	0.0226135356104157	-0.236695922458777	0.459317945829772	0.102798210532653	-0.0692520723088347	-0.0517731310310269	"S01"	0.459317945829772	"IS03"
"WDR1"	"WDR1"	-0.0536731707567675	-0.350373866678033	0.458471961368349	0.149279669054979	-0.211286947337564	0.151122596160821	"S01"	0.458471961368349	"IS03"
