"Gene"	"IS01"	"IS02"	"IS03"	"State"	"MaxFC"	"InitialState"
"TMED8"	"TMED8"	0.284922491495835	-0.0327715101184724	-0.152043933515183	"S01"	0.284922491495835	"IS01"
"SCPEP1"	"SCPEP1"	0.28195778938801	-0.00912415486408103	-0.170488424019705	"S01"	0.28195778938801	"IS01"
"ATP2A3"	"ATP2A3"	0.281873471773622	-0.225007053375793	0.0150675092780138	"S01"	0.281873471773622	"IS01"
"PTPN1"	"PTPN1"	0.28019027838028	-0.185330420947217	-0.0179610356297383	"S01"	0.28019027838028	"IS01"
"OSER1"	"OSER1"	0.279975269234836	-0.340527499037548	0.115531795645599	"S01"	0.279975269234836	"IS01"
"PDCD6IP"	"PDCD6IP"	0.279060908939499	-0.166052250147128	-0.0338119832467324	"S01"	0.279060908939499	"IS01"
"VASP"	"VASP"	0.277944296935861	-0.361679750012245	0.134991899134911	"S01"	0.277944296935861	"IS01"
"VOPP1"	"VOPP1"	0.277900197698327	0.0647275479424282	-0.231381000238917	"S01"	0.277900197698327	"IS01"
"CCDC138"	"CCDC138"	0.277381681462909	-0.107725289157571	-0.0828687826488086	"S01"	0.277381681462909	"IS01"
"ADRM1"	"ADRM1"	0.276944276934933	-0.334556282308187	0.112317881223895	"S01"	0.276944276934933	"IS01"
"CRIP1"	"CRIP1"	0.276843344854993	-0.0422607497131219	-0.138780293197364	"S01"	0.276843344854993	"IS01"
"HNRNPA2B1"	"HNRNPA2B1"	0.276625902939561	-0.385730000138298	0.156491497337848	"S01"	0.276625902939561	"IS01"
"RAP1B"	"RAP1B"	0.276534046290876	-0.181639985771576	-0.0188196907046771	"S01"	0.276534046290876	"IS01"
"RAD21"	"RAD21"	0.275461547186275	-0.148124007805065	-0.0469407872366752	"S01"	0.275461547186275	"IS01"
"MAP4K4"	"MAP4K4"	0.275213975197221	-0.254093123661722	0.044272320956028	"S01"	0.275213975197221	"IS01"
"DEGS1"	"DEGS1"	0.274344335163193	-0.138006585572231	-0.0549278290873288	"S01"	0.274344335163193	"IS01"
"RBM38"	"RBM38"	0.273680009605718	-0.345271501709809	0.123589729299246	"S01"	0.273680009605718	"IS01"
"ARFGAP2"	"ARFGAP2"	0.272569627955465	-0.0358215093157972	-0.141610387844621	"S01"	0.272569627955465	"IS01"
"MTPN"	"MTPN"	0.272501035904043	-0.112454783125613	-0.0757180105489786	"S01"	0.272501035904043	"IS01"
"CDC42"	"CDC42"	0.271679202680044	-0.452586994376984	0.217068604966155	"S01"	0.271679202680044	"IS01"
"MTA2"	"MTA2"	0.271633900169246	-0.176338002446179	-0.0202763748164891	"S01"	0.271633900169246	"IS01"
"SNX22"	"SNX22"	0.271268497279104	0.0770473128925746	-0.237772734696529	"S01"	0.271268497279104	"IS01"
"RHOH"	"RHOH"	0.270549716030598	-0.247091186048395	0.0412057196187466	"S01"	0.270549716030598	"IS01"
"GGA2"	"GGA2"	0.270112031710953	-0.201531179753413	0.00233400180566971	"S01"	0.270112031710953	"IS01"
"ELF1"	"ELF1"	0.268216883279656	-0.335612711230496	0.118745418755378	"S01"	0.268216883279656	"IS01"
"ST6GAL1"	"ST6GAL1"	0.266741990815707	-0.156033087293423	-0.0346299006715877	"S01"	0.266741990815707	"IS01"
"ANKRD33B"	"ANKRD33B"	0.265985578706131	-0.268551932925797	0.0625330451690325	"S01"	0.265985578706131	"IS01"
