"Gene"	"IS01"	"IS02"	"IS03"	"IS04"	"IS05"	"IS06"	"State"	"MaxFC"	"InitialState"
"RGS16"	"RGS16"	0.853754876369838	-0.187587893364918	0.777536914571225	-0.450202039407768	-0.265804469513474	-0.474808130713262	"S01"	0.853754876369838	"IS01"
"ARHGAP10"	"ARHGAP10"	0.853310755911548	-0.215983024978918	-0.0243091317335757	-0.158758224334828	-0.130023499743029	-0.256585840489813	"S01"	0.853310755911548	"IS01"
"COL14A1"	"COL14A1"	0.851366714979892	-0.503737334027511	0.46605922915307	-0.545881958621616	0.653382332089449	-0.654523120085195	"S01"	0.851366714979892	"IS01"
"SLCO1C1"	"SLCO1C1"	0.842265986654327	-0.163310916043465	-0.108972312085335	-0.165194946546827	-0.173103128760864	-0.179048211013551	"S01"	0.842265986654327	"IS01"
"RNF152"	"RNF152"	0.841514451025614	-0.191574094639566	0.00256066206408664	-0.22623197641768	-0.251905801652531	-0.132950930736647	"S01"	0.841514451025614	"IS01"
"ABCC9"	"ABCC9"	0.833737963632152	-0.117758510504186	-0.216470607476972	-0.278521506148941	0.289607843303323	-0.339201072000607	"S01"	0.833737963632152	"IS01"
"HES4"	"HES4"	0.826773140004618	-0.283041144540274	-0.166245381142473	-0.0415441955324425	-0.477847401638085	0.03058373586253	"S01"	0.826773140004618	"IS01"
"LRRC32"	"LRRC32"	0.826133493871903	-0.391193394745242	-0.422796326798217	-0.138451565177109	-0.0118705475055699	0.0267242612325616	"S01"	0.826133493871903	"IS01"
"PGF"	"PGF"	0.823008162088152	-0.392757666919386	0.255431014678817	-0.192770400041297	0.306566372503571	-0.618304201450269	"S01"	0.823008162088152	"IS01"
"CDK18"	"CDK18"	0.820448736624741	-0.0552229758881559	0.0635070309865951	-0.211920092566382	-0.24710838621997	-0.242996570106751	"S01"	0.820448736624741	"IS01"
"RASL11A"	"RASL11A"	0.819246772554863	-0.291556686959395	0.781681573288359	-0.474109107507265	0.181579669497773	-0.69225116762473	"S01"	0.819246772554863	"IS01"
"NDRG2"	"NDRG2"	0.819217589648951	0.0251055622590396	0.609508843837355	-0.472362513827277	-0.128339649918629	-0.511027914172033	"S01"	0.819217589648951	"IS01"
"FBLIM1"	"FBLIM1"	0.817022689752756	-0.330590569995143	-0.326419699844958	0.204789692594255	-0.582331006763797	0.0228933117758784	"S01"	0.817022689752756	"IS01"
"SORBS2"	"SORBS2"	0.815022210951978	-0.150233472695688	-0.399580840073462	-0.0249396839271031	-0.441601542976421	0.0979427745136959	"S01"	0.815022210951978	"IS01"
"LZTS1"	"LZTS1"	0.814728388114894	-0.154744452101786	-0.254677711278744	-0.266328178208892	-0.238860332613917	0.0759500367740357	"S01"	0.814728388114894	"IS01"
"EBF1"	"EBF1"	0.807691994185431	-0.39221511907344	0.109249167706687	-0.283072259391686	0.384464928863065	-0.477628045427004	"S01"	0.807691994185431	"IS01"
"GPX3"	"GPX3"	0.797693660266188	-0.243044560642157	0.446629098220243	-0.547351118565555	0.436626831503336	-0.57666661154272	"S01"	0.797693660266188	"IS01"
"FRMD3"	"FRMD3"	0.784415145950381	0.0158653896582124	-0.15115222265289	-0.188822448055943	-0.13042917945569	-0.203210896924113	"S01"	0.784415145950381	"IS01"
"UBA2"	"UBA2"	0.777308246996485	-0.109751926314827	-0.0603351492044424	-0.18082946998693	-0.203748857608319	-0.157040644712579	"S01"	0.777308246996485	"IS01"
"MAPRE2"	"MAPRE2"	0.768761981971211	-0.197443002965206	0.0180051483983848	-0.304489571782096	-0.0912266374670454	-0.129766100583807	"S01"	0.768761981971211	"IS01"
"HRC"	"HRC"	0.76699219601052	0.230748280015739	-0.190161144776574	-0.204026221886185	-0.189861087743396	-0.212493535288967	"S01"	0.76699219601052	"IS01"
"TSPAN12"	"TSPAN12"	0.760245880490364	-0.137428477367486	-0.131469050684839	-0.142732904437987	-0.11531812319256	-0.177491070319266	"S01"	0.760245880490364	"IS01"
"PEAR1"	"PEAR1"	0.747367177085872	-0.00578211754741427	-0.175862312039773	-0.175830485043766	-0.0783226024082261	-0.196805680070451	"S01"	0.747367177085872	"IS01"
"RBPMS2"	"RBPMS2"	0.7464434080985	-0.258502939898923	-0.131835843066378	-0.166891127027203	-0.0627194730575914	-0.123345511023263	"S01"	0.7464434080985	"IS01"
